"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-133a",-0.480503955830386,6.12384512673611,-5.4603685117095,7.07782451609824e-08,4.37707568758707e-07,6.99112075631573
"hsa-miR-106a",1.24382505159011,9.82457866666667,5.39567134648616,9.99086341967237e-08,6.09831923018963e-07,6.65747882721453
"hsa-miR-20a",1.38260843356891,10.0100054149306,5.38562447945836,1.05369602599439e-07,6.34919400278671e-07,6.60598944797701
"hsa-miR-377",-1.49609047703181,7.73695231597222,-5.34812378436335,1.28428750802099e-07,7.64069783252992e-07,6.41456783531542
"hsa-miR-17-5p",1.16631952473498,9.050108921875,5.34384625865016,1.31351052826193e-07,7.71687435353883e-07,6.39281017032256
"hsa-miR-495",-0.537172097526505,6.25897400694444,-5.22599986302819,2.42677890199236e-07,1.40813096782273e-06,5.79959371705696
"hsa-miR-24",0.781454559010609,11.5424012395833,5.18405865078936,3.01089571893656e-07,1.7257573023173e-06,5.59136999011436
"hsa-miR-1",-0.371189497879858,5.92170356423611,-5.14582935491206,3.66027778365936e-07,2.07268741966253e-06,5.40290581439574
"hsa-miR-380-3p",-0.196612798939928,5.83153581770833,-5.09585853121697,4.71606483853787e-07,2.61089103873482e-06,5.15847653840288
"hsa-miR-517c",-0.279308353003527,5.82008555034722,-5.09561687941192,4.7218242189885e-07,2.61089103873482e-06,5.15729980373376
"hsa-miR-605",0.715749540989397,6.66709263368056,5.06994136111085,5.37410193496948e-07,2.93700919701821e-06,5.0325622049166
"hsa-miR-148a",1.71912715865724,8.31914940104167,5.06453429530144,5.52216841163391e-07,2.98324040628498e-06,5.00636684745171
"hsa-miR-320",0.973475093639578,10.435977984375,5.04613014323487,6.05628340037454e-07,3.23460590701822e-06,4.91739671577377
"hsa-miR-193a",1.04361237491167,7.58935790451389,4.82344949109792,1.80926833925808e-06,9.55456313990222e-06,3.86447627024543
"hsa-miR-33",-1.03310594593639,7.61497732118056,-4.80765723383432,1.95216769518164e-06,1.01946535192819e-05,3.79146516938172
"hsa-miR-18a",0.779900285865718,7.82285355034722,4.7553098739467,2.50779205810216e-06,1.29523326077804e-05,3.55103242333109
"hsa-miR-142-5p",0.987134153356893,7.76376710763889,4.74733593451322,2.60478497016727e-06,1.3224809740653e-05,3.51462134042431
"hsa-miR-345",0.484617496466438,7.07155599826389,4.74636618713585,2.61682405506539e-06,1.3224809740653e-05,3.5101970736915
"hsa-miR-505",0.159097883038872,5.95010146701389,4.69780997383605,3.29308947084761e-06,1.64654473542381e-05,3.28973875077851
"hsa-miR-17-3p",0.824897373144874,7.78942803819444,4.62986644511218,4.52713556665746e-06,2.22334457300407e-05,2.98478245709977
"hsa-miR-195",1.25489620212015,11.1906949097222,4.62919536447972,4.54129955337001e-06,2.22334457300407e-05,2.98179094158006
"hsa-miR-487b",-0.938668709187276,8.75669852256944,-4.6143668873542,4.86535481557633e-06,2.35743996218647e-05,2.91579187259868
"hsa-miR-30a-5p",1.05752884381626,10.9127628680556,4.60067916499543,5.1841007486899e-06,2.48625239988189e-05,2.85504461203604
"hsa-miR-424",1.15818161908128,8.51796989930556,4.56855287845857,6.01288187842992e-06,2.85460048773946e-05,2.71312409853064
"hsa-miR-660",0.493548885159011,6.925597328125,4.55537571299547,6.38837016475947e-06,3.00253397743695e-05,2.65518027876382
"hsa-miR-487a",-0.646171262190809,6.89607388888889,-4.54138220004752,6.81171386155168e-06,3.16980744052405e-05,2.59381720487792
"hsa-miR-590",0.578971805653706,7.11924971180556,4.53411540900893,7.04204007614089e-06,3.24486160371198e-05,2.56202083954934
"hsa-miR-19b",1.09151572332156,10.5876298975694,4.49957545240161,8.24278852289659e-06,3.76127243277806e-05,2.41153709444609
"hsa-miR-10b",1.99492373074206,8.64170053819444,4.46244664220004,9.75164468542628e-06,4.40699327129842e-05,2.25097039091641
